Event #,Event Title,Cost Code,Cost Type,Budget Code,Description,Vendor,Contract,UOM,Revenue Unit Qty,Revenue Unit Cost,Revenue ROM,Prime PCO,Latest Price,Cost Unit Qty,Cost Unit Cost,Cost ROM,RFQ,Commitment,Latest Cost,Over / Under,Budget Modification
081,Contingency: Unit Lighting Control Changes,60-601005.000 - Design Contingency,Material - Material,,"Unit Lighting Control Changes: B1, C1, C2, F",,,,-1.0,"$3,975.00","-$3,975.00","-$3,975.00","-$3,975.00",-1.0,"$3,975.00","-$3,975.00",,,"-$3,975.00",$0.00,
080,Balance to complete ACT Contract,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
080,Balance to complete ACT Contract,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
080,Balance to complete ACT Contract,9-95123.000 - Acoustical Tile Ceilings,Subcontract - Subcontract,,Balance to complete ACT Contract,"Minnesota Acoustics, Inc.",SC-25-117-095,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$14,900.00","$14,900.00",,"$14,900.00","$14,900.00","-$14,900.00",
079,Additional Build Wrap,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
079,Additional Build Wrap,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
079,Additional Build Wrap,8-85413.000 - Windows and Patio Doors,Material - Material,,Additional building wrap materials,JB Construction Company,PO-25-117-725,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$6,922.16","$6,922.16",,"$6,922.16","$6,922.16","-$6,922.16",
078,Supply Toilet Partitions,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$94.80,$0.00,$94.80,,,,,,0.0,$94.80,
078,Supply Toilet Partitions,60-604000.000 - Fee,Material - Material,,,,,,,,$331.80,$0.00,$331.80,,,,,,0.0,$331.80,
078,Supply Toilet Partitions,10-102113.000 - Toilet Partitions,Material - Material,,Supply all plastic toilet partitions.,"CBG Midwest, LLC dba BMSI",PO-25-117-104,ls,1.0,"$9,480.00","$9,480.00",,"$9,480.00",1.0,"$9,480.00","$9,480.00",,"$9,480.00","$9,480.00",$0.00,
077,Contingency: Bike Racks,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
077,Contingency: Bike Racks,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
077,Contingency: Bike Racks,12-129313.000 - Bike Equipment and Racks,Material - Material,,Supply Two Dero Rolling Racks and  Three SportWorks Tofini E-Racks,"CBG Midwest, LLC dba BMSI",PO-25-117-104,ls,1.0,"$2,945.00","$2,945.00","$2,945.00","$2,945.00",1.0,"$2,945.00","$2,945.00",,"$2,945.00","$2,945.00",$0.00,
077,Contingency: Bike Racks,60-601005.000 - Design Contingency,Material - Material,,Supply Two Dero Rolling Racks and  Three SportWorks Tofini E-Racks,,,,-1.0,"$2,945.00","-$2,945.00","-$2,945.00","-$2,945.00",-1.0,"$2,945.00","-$2,945.00",,,"-$2,945.00",$0.00,
076,Remodel Work at Existing,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
076,Remodel Work at Existing,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
076,Remodel Work at Existing,6-61010.000 - Rough Carpentry Installation,Subcontract - Subcontract,,Additional rough carpentry at existing building and misc. framing.,Wolf Construction,SC-25-117-061,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$11,700.00","$11,700.00",,"$11,700.00","$11,700.00","-$11,700.00",
075,Contingency: Window Treatments,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
075,Contingency: Window Treatments,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
075,Contingency: Window Treatments,12-122000.000 - Window Treatments,Subcontract - Subcontract,,Delta between Window Treatment Allowance and Selections,,,ls,1.0,"$23,250.00","$23,250.00","$23,250.00","$23,250.00",1.0,"$23,250.00","$23,250.00",,,"$23,250.00",$0.00,
075,Contingency: Window Treatments,60-601005.000 - Design Contingency,Material - Material,,Delta between Window Treatment Allowance and Selections,,,ls,-1.0,"$23,250.00","-$23,250.00","-$23,250.00","-$23,250.00",-1.0,"$23,250.00","-$23,250.00",,,"-$23,250.00",$0.00,
074,Contingency: Latch Guards and Store Front Reinforcement ,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
074,Contingency: Latch Guards and Store Front Reinforcement ,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
074,Contingency: Latch Guards and Store Front Reinforcement ,8-84000.000 - Aluminum Entrances and Storefronts,Subcontract - Subcontract,,Reinforce latch side mullions & latch guards,Artic Glass Company,SC-25-117-0840,ls,0.0,$0.00,$0.00,"$2,147.00","$2,147.00",1.0,"$2,147.00","$2,147.00",,"$2,147.00","$2,147.00",$0.00,
074,Contingency: Latch Guards and Store Front Reinforcement ,60-601005.000 - Design Contingency,Material - Material,,Reinforce latch side mullions & latch guards,,,ls,0.0,$0.00,$0.00,"-$2,147.00","-$2,147.00",-1.0,"$2,147.00","-$2,147.00",,,"-$2,147.00",$0.00,
073,Column Materials   ,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
073,Column Materials   ,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
073,Column Materials   ,6-61000.000 - Rough Carpentry Material,Material - Material,,Supply 7/16 OSB for columns,McCarron's Building Center,PO-25-117-062,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$2,901.23","$2,901.23",,"$2,901.23","$2,901.23","-$2,901.23",
072,Additional Build Wrap,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
072,Additional Build Wrap,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
072,Additional Build Wrap,8-85413.000 - Windows and Patio Doors,Material - Material,,Supply 12 additional 10'x125' Tyvek Commercial D building wrap.,JB Construction Company,PO-25-117-725,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$4,865.63","$4,865.63",,"$4,865.63","$4,865.63","-$4,865.63",
071,Additional Building Wrap Materials,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$51.60,$0.00,$51.60,,,,,,0.0,$51.60,
071,Additional Building Wrap Materials,60-604000.000 - Fee,Material - Material,,,,,,,,$180.59,$0.00,$180.59,,,,,,0.0,$180.59,
071,Additional Building Wrap Materials,8-85413.000 - Windows and Patio Doors,Material - Material,,Supply additional building wrap materials,JB Construction Company,PO-25-117-725,ls,1.0,"$5,159.73","$5,159.73",,"$5,159.73",1.0,"$5,159.73","$5,159.73",,"$5,159.73","$5,159.73",$0.00,
070,Install OTR Microwaves,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
070,Install OTR Microwaves,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
070,Install OTR Microwaves,11-113100.000 - Appliances,Material - Material,,Install two OTR microwaves at AL units.,All Inc.,SC-25-117-113,ls,0.0,$0.00,$0.00,,$0.00,1.0,$216.26,$216.26,,$216.26,$216.26,-$216.26,
069,Silicone for Window and Patio Door Install,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
069,Silicone for Window and Patio Door Install,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
069,Silicone for Window and Patio Door Install,8-85413.000 - Windows and Patio Doors,Material - Material,,Supply silicone for window and patio door installs 204 tubes / 12 cases.,JB Construction Company,PO-25-117-725,ls,0.0,$0.00,$0.00,,$0.00,204.0,$8.50,"$1,734.00",,"$1,734.00","$1,734.00","-$1,734.00",
068,Credit Back for Added Material Not Accepted,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$43.94,$0.00,$43.94,,,,,,0.0,$43.94,
068,Credit Back for Added Material Not Accepted,60-604000.000 - Fee,Material - Material,,,,,,,,$153.80,$0.00,$153.80,,,,,,0.0,$153.80,
068,Credit Back for Added Material Not Accepted,12-123640.000 - Residential Countertops,Subcontract - Subcontract,,Credit back for added material in ASI 005 not accepted but originally included as a deduct to eliminate fireplace surrounds from the project.  ,Leon's Countertops,SC-25-117-123,ls,1.0,"$4,394.25","$4,394.25",,"$4,394.25",1.0,"$4,394.25","$4,394.25",,"$4,394.25","$4,394.25",$0.00,
067,ACT-4 and ACP-4 Finish Selections,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$283.50,$283.50,$283.50,,,,,,0.0,$283.50,
067,ACT-4 and ACP-4 Finish Selections,60-604000.000 - Fee,Material - Material,,,,,,,,$992.25,$992.25,$992.25,,,,,,0.0,$992.25,
067,ACT-4 and ACP-4 Finish Selections,9-95123.000 - Acoustical Tile Ceilings,Subcontract - Subcontract,,ACT-4 and ACP-1 Finish Selections,"Minnesota Acoustics, Inc.",SC-25-117-095,ls,1.0,"$28,350.00","$28,350.00","$28,350.00","$28,350.00",1.0,"$28,350.00","$28,350.00",,"$28,350.00","$28,350.00",$0.00,
066,Temp Base at Phase 1,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
066,Temp Base at Phase 1,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
066,Temp Base at Phase 1,9-96500.000 - Resilient Flooring,Subcontract - Subcontract,,Supply and install temp vinyl base at phase 1 corridor.,Precision Floors,SC-25-117-093,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$1,017.50","$1,017.50",,"$1,017.50","$1,017.50","-$1,017.50",
065,Materials for Balcony Trellises,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
065,Materials for Balcony Trellises,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
065,Materials for Balcony Trellises,6-61000.000 - Rough Carpentry Material,Material - Material,,Supply materials for Balcony Trellises,McCarron's Building Center,PO-25-117-062,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$6,358.32","$6,358.32",,"$6,358.32","$6,358.32","-$6,358.32",
064,Supply Additional Plates for Sheer Walls and Post Pases,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
064,Supply Additional Plates for Sheer Walls and Post Pases,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
064,Supply Additional Plates for Sheer Walls and Post Pases,5-51200.000 - Structural Steel,Subcontract - Subcontract,,Supply additional plates for sheet walls,"D G Welding & Mfg., Inc.",SC-25-117-051,ls,0.0,$0.00,$0.00,,$0.00,1.0,$980.00,$980.00,,$980.00,$980.00,-$980.00,
064,Supply Additional Plates for Sheer Walls and Post Pases,5-51200.000 - Structural Steel,Subcontract - Subcontract,,Supply additional post bases,"D G Welding & Mfg., Inc.",SC-25-117-051,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$2,970.00","$2,970.00",,"$2,970.00","$2,970.00","-$2,970.00",
063,ASI 009 Unit 2108 Deck Expansion,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$51.42,$51.42,$51.42,,,,,,0.0,$51.42,
063,ASI 009 Unit 2108 Deck Expansion,60-604000.000 - Fee,Material - Material,,,,,,,,$179.98,$179.97,$179.97,,,,,,0.0,$179.97,
063,ASI 009 Unit 2108 Deck Expansion,6-61000.000 - Rough Carpentry Material,Material - Material,,Additional materials for deck framing,McCarron's Building Center,PO-25-117-062,ls,1.0,"$1,805.75","$1,805.75","$1,805.75","$1,805.75",1.0,"$1,805.75","$1,805.75",,"$1,805.75","$1,805.75",$0.00,
063,ASI 009 Unit 2108 Deck Expansion,6-61010.000 - Rough Carpentry Installation,Subcontract - Subcontract,,Additional framing for extended deck,Wolf Construction,SC-25-117-061,ls,1.0,"$2,200.00","$2,200.00","$2,200.00","$2,200.00",1.0,"$2,200.00","$2,200.00",,"$2,200.00","$2,200.00",$0.00,
063,ASI 009 Unit 2108 Deck Expansion,32-323100.000 - Fences and Gates,Subcontract - Subcontract,,Added privacy screen wall,,,ls,1.0,"$7,736.39","$7,736.39","$7,736.39","$7,736.39",1.0,"$7,736.39","$7,736.39",,,"$7,736.39",$0.00,
063,ASI 009 Unit 2108 Deck Expansion,9-95123.000 - Acoustical Tile Ceilings,Subcontract - Subcontract,,Eliminate ACT at Lounge 102,"Minnesota Acoustics, Inc.",SC-25-117-095,ls,-1.0,"$6,600.00","-$6,600.00","-$6,600.00","-$6,600.00",-1.0,"$6,600.00","-$6,600.00",,"-$6,600.00","-$6,600.00",$0.00,
062,Additional Roof Drains to Storm,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$70.51,$70.51,$70.51,,,,,,0.0,$70.51,
062,Additional Roof Drains to Storm,60-604000.000 - Fee,Material - Material,,,,,,,,$246.79,$246.79,$246.79,,,,,,0.0,$246.79,
062,Additional Roof Drains to Storm,33-330000.000 - Utilities,Subcontract - Subcontract,,Additional roof drains were added to the building,"Minnesota Utilities & Excavating, LLC",SC-25-117-310,ls,1.0,"$7,051.00","$7,051.00","$7,051.00","$7,051.00",1.0,"$7,051.00","$7,051.00",,"$7,051.00","$7,051.00",$0.00,
061,Utility Line Elevation Conflict,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$94.00,$94.00,$94.00,,,,,,0.0,$94.00,
061,Utility Line Elevation Conflict,60-604000.000 - Fee,Material - Material,,,,,,,,$329.00,$329.00,$329.00,,,,,,0.0,$329.00,
061,Utility Line Elevation Conflict,33-330000.000 - Utilities,Subcontract - Subcontract,,Utility line elevation conflict STRM #1,"Minnesota Utilities & Excavating, LLC",SC-25-117-310,ls,1.0,"$9,400.00","$9,400.00","$9,400.00","$9,400.00",1.0,"$9,400.00","$9,400.00",,"$9,400.00","$9,400.00",$0.00,
060,Paint AL Unit Doors,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$15.13,$15.13,$15.13,,,,,,0.0,$15.13,
060,Paint AL Unit Doors,60-604000.000 - Fee,Material - Material,,,,,,,,$52.96,$52.96,$52.96,,,,,,0.0,$52.96,
060,Paint AL Unit Doors,9-99000.000 - Painting and Coating,Subcontract - Subcontract,,AL unit doors were painted to match.,"MCI Paint & Drywall, Inc.",SC-25-117-092,ls,1.0,"$1,513.00","$1,513.00","$1,513.00","$1,513.00",1.0,"$1,513.00","$1,513.00",,"$1,513.00","$1,513.00",$0.00,
059,Supply and Install WP-1,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$187.48,$0.00,$187.48,,,,,,0.0,$187.48,
059,Supply and Install WP-1,60-604000.000 - Fee,Material - Material,,,,,,,,$656.18,$0.00,$656.18,,,,,,0.0,$656.18,
059,Supply and Install WP-1,10-102600.000 - Wall and Door Protection,Material - Material,,"Supply and install all WP-1 wall protection at corridor remodel, 1st floor elevator lobby, and common area columns","MCI Paint & Drywall, Inc.",SC-25-117-092,ls,1.0,"$18,748.00","$18,748.00",,"$18,748.00",1.0,"$18,748.00","$18,748.00",,"$18,748.00","$18,748.00",$0.00,
058,"Contingency: Relocate HL Switches at Units B1, C1, C2",60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
058,"Contingency: Relocate HL Switches at Units B1, C1, C2",60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
058,"Contingency: Relocate HL Switches at Units B1, C1, C2",26-260000.000 - Electrical,Subcontract - Subcontract,,"Relocate HL switches location at units B1, C1, C2 as a result of a conflict between the linen cabinet depth and the bathroom door opening framing.","Berd Electric, LLC",SC-25-117-260,ls,1.0,"$1,925.00","$1,925.00","$1,925.00","$1,925.00",1.0,"$1,925.00","$1,925.00",,"$1,925.00","$1,925.00",$0.00,
058,"Contingency: Relocate HL Switches at Units B1, C1, C2",60-601005.000 - Design Contingency,Material - Material,,"Relocate HL switches location at units B1, C1, C2 as a result of a conflict between the linen cabinet depth and the bathroom door opening framing.",,,ls,-1.0,"$1,925.00","-$1,925.00","-$1,925.00","-$1,925.00",-1.0,"$1,925.00","-$1,925.00",,,"-$1,925.00",$0.00,
057,AL Unit Appliances,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$52.33,$52.33,$52.33,,,,,,0.0,$52.33,
057,AL Unit Appliances,60-604000.000 - Fee,Material - Material,,,,,,,,$183.15,$183.15,$183.15,,,,,,0.0,$183.15,
057,AL Unit Appliances,11-113100.000 - Appliances,Material - Material,,Supply SS appliances at AL units,All Inc.,SC-25-117-113,ls,1.0,"$4,932.89","$4,932.89","$4,932.89","$4,932.89",1.0,"$4,932.89","$4,932.89",,"$4,932.89","$4,932.89",$0.00,
057,AL Unit Appliances,6-62000.000 - Finish Carpentry Installation,Subcontract - Subcontract,,Install appliances,JB Finishes,SC-25-117-062,ls,1.0,$300.00,$300.00,$300.00,$300.00,1.0,$300.00,$300.00,,,$300.00,$0.00,
055,Test Window,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
055,Test Window,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
055,Test Window,8-85413.000 - Windows and Patio Doors,Material - Material,,Supply test window classic single hung equal split sash.,Arrow Building Center,PO-25-117-085,ls,0.0,$0.00,$0.00,,$0.00,1.0,$616.35,$616.35,,$616.35,$616.35,-$616.35,
054,Winter Conditions,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
054,Winter Conditions,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
054,Winter Conditions,50-502000.000 - Winter Conditions,Material - Material,,Winter Conditions: Temp Heater Rental,,,ls,1.0,"$33,733.47","$33,733.47","$33,733.47","$33,733.47",1.0,"$33,733.47","$33,733.47",,,"$33,733.47",$0.00,
054,Winter Conditions,60-601005.000 - Design Contingency,Material - Material,,Winter Conditions: Heater Rental,,,ls,-1.0,"$33,733.47","-$33,733.47","-$33,733.47","-$33,733.47",-1.0,"$33,733.47","-$33,733.47",,,"-$33,733.47",$0.00,
053,Storage Cages,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
053,Storage Cages,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
053,Storage Cages,,,,,,,,,,$0.00,,$0.00,,,$0.00,,,$0.00,$0.00,
052,Add zoning for Maintenance and Marketing Office,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$35.00,$35.00,$35.00,,,,,,0.0,$35.00,
052,Add zoning for Maintenance and Marketing Office,60-604000.000 - Fee,Material - Material,,,,,,,,$122.50,$122.50,$122.50,,,,,,0.0,$122.50,
052,Add zoning for Maintenance and Marketing Office,23-230000.000 - HVAC,Subcontract - Subcontract,,Add zoning system to maintenance and office,J-Berd Mechanical Contractors,SC-25-117-220,ls,1.0,"$3,500.00","$3,500.00","$3,500.00","$3,500.00",1.0,"$3,500.00","$3,500.00",,"$3,500.00","$3,500.00",$0.00,
051,L2 Unit F Balcony,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
051,L2 Unit F Balcony,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
051,L2 Unit F Balcony,,,,,,,,,,$0.00,,$0.00,,,$0.00,,,$0.00,$0.00,
050,Contingency: Soft Close Toilet Seats,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
050,Contingency: Soft Close Toilet Seats,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
050,Contingency: Soft Close Toilet Seats,22-220000.000 - Plumbing,Subcontract - Subcontract,,Supply and install soft close toilet seats at all unit toilets,J-Berd Mechanical Contractors,SC-25-117-220,ls,0.0,$0.00,$0.00,"$3,354.00","$3,354.00",1.0,"$3,354.00","$3,354.00",,"$3,354.00","$3,354.00",$0.00,
050,Contingency: Soft Close Toilet Seats,60-601005.000 - Design Contingency,Material - Material,,Supply and install soft close toilet seats at all unit toilets,,,ls,0.0,$0.00,$0.00,"-$3,354.00","-$3,354.00",-1.0,"$3,354.00","-$3,354.00",,,"-$3,354.00",$0.00,
049,ASI 005 - Mirrors,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$60.00,$60.00,$60.00,,,,,,0.0,$60.00,
049,ASI 005 - Mirrors,60-604000.000 - Fee,Material - Material,,,,,,,,$210.00,$210.00,$210.00,,,,,,0.0,$210.00,
049,ASI 005 - Mirrors,8-88330.000 - Mirrors,Subcontract - Subcontract,,Add 33 unit bathroom mirrors,North American Art,SC-25-117-088,ls,1.0,"$6,000.00","$6,000.00","$6,000.00","$6,000.00",1.0,"$6,000.00","$6,000.00",,,"$6,000.00",$0.00,
048,Supply Green Treat Plywood ,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
048,Supply Green Treat Plywood ,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
048,Supply Green Treat Plywood ,6-61000.000 - Rough Carpentry Material,Material - Material,,Supply green treat plywood for furring to flush out the deck joist.,McCarron's Building Center,PO-25-117-062,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$1,696.94","$1,696.94",,"$1,696.94","$1,696.94","-$1,696.94",
047,Additional Lumber for Walls at AL Units,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
047,Additional Lumber for Walls at AL Units,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
047,Additional Lumber for Walls at AL Units,6-61000.000 - Rough Carpentry Material,Material - Material,,Additional lumber for new walls at AL Unit laundry.,McCarron's Building Center,PO-25-117-062,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$1,499.66","$1,499.66",,"$1,499.66","$1,499.66","-$1,499.66",
046,Trex Decking Selection,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
046,Trex Decking Selection,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
046,Trex Decking Selection,6-61000.000 - Rough Carpentry Material,Material - Material,,Deduct for TrexSelect material in lieu of Trex Transcend,McCarron's Building Center,PO-25-117-062,ls,-1.0,"$9,014.28","-$9,014.28","-$9,014.28","-$9,014.28",-1.0,"$9,014.28","-$9,014.28",,"-$9,014.28","-$9,014.28",$0.00,
045,RFI 54 - Unit Balcony Privacy Screens,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$86.01,$86.01,$86.01,,,,,,0.0,$86.01,
045,RFI 54 - Unit Balcony Privacy Screens,60-604000.000 - Fee,Material - Material,,,,,,,,$301.05,$301.05,$301.05,,,,,,0.0,$301.05,
045,RFI 54 - Unit Balcony Privacy Screens,3-33000.000 - Cast in Place Concrete,Subcontract - Subcontract,,Add two concrete piers,"Gresser Companies, Inc.",SC-25-117-030,ls,1.0,"$3,476.00","$3,476.00","$3,476.00","$3,476.00",1.0,"$3,476.00","$3,476.00",,"$3,476.00","$3,476.00",$0.00,
045,RFI 54 - Unit Balcony Privacy Screens,6-61000.000 - Rough Carpentry Material,Material - Material,,Additional materials for framed privacy walls,McCarron's Building Center,PO-25-117-062,ls,1.0,"$5,125.38","$5,125.38","$5,125.38","$5,125.38",1.0,"$5,125.38","$5,125.38",,"$5,125.38","$5,125.38",$0.00,
044,Unit Islands Top Overhang,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
044,Unit Islands Top Overhang,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
044,Unit Islands Top Overhang,12-123640.000 - Residential Countertops,Subcontract - Subcontract,,"11"" overhang at unit kitchen islands.",Leon's Countertops,SC-25-117-123,,0.0,$0.00,$0.00,,$0.00,1.0,"$3,500.00","$3,500.00",,"$3,500.00","$3,500.00","-$3,500.00",
043,Door hardware Coordination Meeting,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
043,Door hardware Coordination Meeting,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
043,Door hardware Coordination Meeting,,,,,,,,,,$0.00,,$0.00,,,$0.00,,,$0.00,$0.00,
042,Window and Patio Door Drip Cap Flashing,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
042,Window and Patio Door Drip Cap Flashing,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
042,Window and Patio Door Drip Cap Flashing,7-76200.000 - Sheet Metal Flashing and Trim,Subcontract - Subcontract,,Supply drip cap flashing at all window and patio doors.,"Highmark Exteriors, LLC",SC-25-117-0722,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$4,845.00","$4,845.00",,"$4,845.00","$4,845.00","-$4,845.00",
041,Elevator Cab Finish,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,-$42.00,$0.00,$0.00,,,,,,0.0,$0.00,
041,Elevator Cab Finish,60-604000.000 - Fee,Material - Material,,,,,,,,-$147.00,$0.00,$0.00,,,,,,0.0,$0.00,
041,Elevator Cab Finish,14-142000.000 - Elevators,Subcontract - Subcontract,,Deduct to change from SS finishes to painted and PLAM,Schindler Elevator Corporation,SC-25-117-200,ls,-1.0,"$4,200.00","-$4,200.00","-$4,200.00","-$4,200.00",-1.0,"$4,200.00","-$4,200.00",,"-$4,200.00","-$4,200.00",$0.00,
040,Unit Box Walk,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$63.75,$63.75,$63.75,,,,,,0.0,$63.75,
040,Unit Box Walk,60-604000.000 - Fee,Material - Material,,,,,,,,$223.13,$223.13,$223.13,,,,,,0.0,$223.13,
040,Unit Box Walk,26-260000.000 - Electrical,Subcontract - Subcontract,,Updated receptacles at per unit box walk.,"Berd Electric, LLC",SC-25-117-260,ls,1.0,"$6,375.00","$6,375.00","$6,375.00","$6,375.00",1.0,"$6,375.00","$6,375.00",,"$6,375.00","$6,375.00",$0.00,
039,ASI 007,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,-$16.41,$0.00,$0.00,,,,,,0.0,$0.00,
039,ASI 007,60-604000.000 - Fee,Material - Material,,,,,,,,-$57.42,$0.00,$0.00,,,,,,0.0,$0.00,
